Station Name,County,lon_X,lat_Y,sta_ID,River Basin,Elev_ft,Operator,ppt_type
SIERRA CITY,SIERRA,-120.6528,39.5678,SRC,YUBA R,4700,CA Dept of Water Resources,16E
STIRLING CITY,BUTTE,-121.5278,39.9044,SRL,FEATHER R,3520,CA Dept of Water Resources,16E
SAN VICENTE DAM,SAN DIEGO,-116.924,32.913,SVD,SAN DIEGO R,663,San Diego County,16E
SYCAMORE CANYON,VENTURA,-119.076,34.583,SYC,SANTA CLARA R,4800,Ventura County,16E
SANTA YSABEL,SAN DIEGO,-116.673,33.109,SYS,SAN DIEGO R,2990,San Diego County,16E
TEHACHAPI AIRPORT,KERN,-118.438,35.133,TAP,CALIENTE CR,3890,Kern County,16E
TASSAJARA,CONTRA COSTA,-121.874947,37.787441,TAS,EAST BAY,30,Contra Costa County,16E
TUOLUMNE R AT THE GRAND CYN OF TUOLUMNE,TUOLUMNE,-119.6598969,37.91658783,TGC,TUOLUMNE R,3830,US Geological Survey,16E
TRINITY GUARD STATION,TRINITY,-122.66,40.825,TGS,TRINITY R,4100,US Bureau of Reclamation,16E
THOMES CREEK AT PASKENTA,TEHAMA,-122.5285645,39.88784027,THO,SACRAMENTO R,720,CA Dept of Water Resources,16E
THOMPSON CREEK DAM,LOS ANGELES,-117.709,34.139,THP,LOS ANGELES R,1600,None Specified,16E
TILDEN PARK,CONTRA COSTA,-122.222,37.883,TLD,EAST BAY,1905,Contra Costa County,16E
TELEGRAPH HILL,TUOLUMNE,-120.353,38.03,TLH,TUOLUMNE R,3730,US Bureau of Reclamation,16E
TRINITY RIVER BELOW LIMEKILN GULCH,TRINITY,-122.919,40.673,TLK,TRINITY R,1650,US Geological Survey,16E
TAMARACK SUMMIT,FRESNO,-119.2,37.165,TMR,SAN JOAQUIN R,7550,US Bureau of Reclamation,16E
TRUCKEE RIVER AT TAHOE CITY,PLACER,-120.1443558,39.1662941,TTC,TRUCKEE R,5930,US Geological Survey,16E
TEST STATION,ALAMEDA,-120.7,34.3,TTT,ALAMEDA CR,1000,CA Dept of Water Resources,16E
KLAMATH R NR KLAMATH (TURWAR CREEK),DEL NORTE,-123.999,41.515,TUR,KLAMATH R,6,USGS and DWR,16E
TWEEDY CREEK,KERN,-118.471,35.221,TWC,CALIENTE CR,3620,Kern County,16E
TAYLOR RIDGE,TRINITY,-122.817,40.917,TYR,TRINITY R,4000,US Bureau of Reclamation,16E
MT. UMUNHUM #2,SANTA CLARA,-121.904,37.158,UMN,SF BAY,3090,Santa Clara County,16E
VENADO,SONOMA,-123.017,38.617,VEN,RUSSIAN R,1260,CA Dept of Water Resources,16E
VAN MAREN,SACRAMENTO,-121.308,38.7,VNM,SACRAMENTO R,118,Sacramento County,16E
VIEIRA RANCH,SAN JOAQUIN,-121.469,37.665,VRN,SAN JOAQUIN R,372,San Joaquin County,16E
VENTANA CONE,MONTEREY,-121.714,36.3,VTC,CARMEL R,4750,Monterey County,16E
VENTURA COUNTY GOVERNMENT CENTER,VENTURA,-119.209,34.268,VTU,SANTA CLARA R,280,Ventura County,16E
WALKER BASIN (EAST),KERN,-118.412,35.384,WBE,CALIENTE CR,4220,Kern County,16E
WALKER BASIN,KERN,-118.546,35.382,WBN,CALIENTE CR,3230,Kern County,16E
WEST BIG PINE,SANTA BARBARA,-119.66444,34.69056,WBP,SANTA YNEZ R,6360,Santa Barbara County,16E
SOUTH FORK WILLOW CREEK NEAR FRUTO,GLENN,-122.389,39.541,WCF,SACRAMENTO R,400,CA Dept of Water Resources/Flood Management,16E
WHITEROCK CREEK,KERN,-118.411,35.205,WCK,CALIENTE CR,6650,Kern County,16E
WATER CANYON,KERN,-118.484,35.072,WCN,CALIENTE CR,5760,Kern County,16E
WILLITS HOWARD RS,MENDOCINO,-123.3217,39.3506,WIL,RUSSIAN R,1925,CA Dept of Water Resources,16E
WOODLAND,YOLO,-121.795,38.688,WLD,SACTO VLY WEST,70,Yolo County,16E
WALNUT CREEK SB,LOS ANGELES,-117.874,34.074,WLN,SAN GABRIEL R,520,None Specified,16E
WEAPONS STATION FIRE,CONTRA COSTA,-122.02,38.019,WSF,EAST BAY,49,Contra Costa County,16E
WHISPERING PINES,LAKE,-122.717,38.8,WSP,PUTAH CR,2700,CA Dept of Water Resources,16E
YGNACIO VALLEY FIRE,CONTRA COSTA,-122.028,37.938,YGF,EAST BAY,83,Contra Costa County,16E
YORKVILLE,MENDOCINO,-123.2314,38.9053,YOR,RUSSIAN R,1100,CA Dept of Water Resources,16E
YOSEMITE NEAR WAWONA,MARIPOSA,-119.632,37.508,YOW,MERCED R,4957,Merced Irrigation District,16E
YOSEMITE AT YOSEMITE VALLEY,MARIPOSA,-119.589,37.74,YYV,MERCED R,4200,Merced Irrigation District,16E
ZENIA,TRINITY,-123.46,40.208,ZEN,EEL R,4000,CA Dept of Water Resources,16E
8 STATION PRECIP INDEX (DWR-2),PLUMAS,-120.9,39.9,8SM,SACRAMENTO R,0,CA Dept of Water Resources,45D
AUBURN DAM RIDGE,PLACER,-121.045,38.882,ADR,AMERICAN R,1200,US Bureau of Reclamation,45D
ALDER SPRINGS NEAR ELK CREEK,GLENN,-122.725,39.65,ADS,STONY CR,4500,US Forest Service,45D
A.G. WISHON (PG&E),MERCED,-119.505,37.151,AGW,SAN JOAQUIN R,1000,Pacific Gas & Electric,45D
ALPHA (SMUD),EL DORADO,-120.215,38.805,ALP,AMERICAN R,7600,Sacramento Municipal Utility District,45D
ALDER SPRINGS (USACE),GLENN,-122.725,39.65,ALS,STONY CR,4500,US Army Corps of Engineers,45D
ALLEGHANY,SIERRA,-120.875,39.47,ALY,YUBA R,4957,CA Dept of Water Resources/O & M,45D
ANGWIN,NAPA,-122.4332,38.5712,ANG,NAPA R,1815,CA Dept of Water Resources,45D
ANTELOPE LAKE,PLUMAS,-120.607,40.18,ANT,FEATHER R,4960,CA Dept of Water Resources/O & M,45D
ALPINE,SAN DIEGO,-116.739,32.834,API,SAN DIEGO R,2041,US Forest Service,45D
ARROWHEAD SPRINGS HOTEL,SAN BERNARDINO,-117.264,34.184,ARS,LYTLE CR,2000,None Specified,45D
ARDEN WAY,SACRAMENTO,-121.413,38.596,ARW,AMERICAN R,35,Sacramento County,45D
ARROYO SECO,MONTEREY,-121.488,36.23,ARY,SALINAS R,980,US Forest Service,45D
ASH MOUNTAIN,TULARE,-118.833,36.483,ASM,KAWEAH R,1708,Sequoia and Kings Canyon National Parks,45D
ATLAS PEAK,NAPA,-122.25,38.433,ATL,NAPA R,1660,CA Dept of Water Resources,45D
ATWELL CAMP,TULARE,-118.631,36.464,ATW,KAWEAH R,6400,US Army Corps of Engineers,45D
BALCH PH (PG&E),FRESNO,-119.089,36.909,BAL,KINGS R,1720,Pacific Gas & Electric,45D
BYRON AIRPORT,CONTRA COSTA,-121.6225,37.8306,BAP,DELTA,43,Contra Costa County,45D
BEACH MEADOWS,TULARE,-118.293,36.127,BCH,KERN R,7650,CA Dept of Water Resources/Snow Surveys,45D
BRUSH CREEK (DWR-2),BUTTE,-121.34,39.694,BCM,FEATHER R,3560,CA Dept of Water Resources,45D
BRUSH CREEK RS,BUTTE,-121.34,39.69,BCR,FEATHER R,3520,US Forest Service,45D
BIG DALTON DAM,LOS ANGELES,-117.808,34.17,BDD,SAN GABRIEL R,1587,None Specified,45D
BALD MOUNTAIN (USBR),FRESNO,-119.4,37.067,BDM,SAN JOAQUIN R,4720,US Bureau of Reclamation,45D
BRANDY CREEK,SHASTA,-122.567,40.617,BDY,SACTO VLY NE,1300,US Bureau of Reclamation,45D
BERRYESSA,NAPA,-122.104,38.513,BER,PUTAH CR,456,US Bureau of Reclamation,45D
BAKERSFIELD AIRPORT,KERN,-119.054,35.434,BFK,TULARE LAKE,494,National Weather Service,45D
BIG FLAT,TRINITY,-122.942,41.08,BFL,TRINITY R,5100,US Bureau of Reclamation,45D
BIG BAR,TRINITY,-123.2,40.733,BGB,TRINITY R,1270,US Forest Service,45D
BIG CREEK 1,FRESNO,-119.24,37.205,BGC,SAN JOAQUIN R,4878,"Southern California Edison Company, Big Creek",45D
BRIDGEVILLE,HUMBOLDT,-123.792,40.474,BGV,VAN DUZEN R,646,CA Dept of Water Resources,45D
BIG MEADOWS (DWR),TULARE,-118.842,36.717,BIM,KINGS R,7600,CA Dept of Water Resources/Snow Surveys,45D
BUCKS LAKE,PLUMAS,-121.242,39.85,BKL,FEATHER R,5750,CA Dept of Water Resources/O & M,45D
BLACKS MOUNTAIN,LASSEN,-121.198,40.77,BLA,PIT R,7050,CA Dept of Water Resources,45D
BLACK BUTTE,TEHAMA,-122.329,39.808,BLB,STONY CR,426,US Army Corps of Engineers,45D
BLUE CANYON,PLACER,-120.7081,39.2761,BLC,AMERICAN R,5280,US Bureau of Reclamation,45D
BLOODS CREEK,ALPINE,-120.033,38.45,BLD,STANISLAUS R,7200,US Bureau of Reclamation,45D
BLACK MOUNTAIN,SAN LUIS OBISPO,-120.353,35.395,BLM,SALINAS R,3625,CA Dept of Water Resources,45D
BLACK SPRINGS,CALAVERAS,-120.192,38.375,BLS,STANISLAUS R,6500,US Bureau of Reclamation,45D
BONANZA KING,TRINITY,-122.628,41.083,BNK,TRINITY R,6450,US Bureau of Reclamation,45D
BUNNING RANCH,MARIPOSA,-119.89,37.3678,BNR,FRESNO R,1520,US Army Corps of Engineers,45D
BURNS CANYON,SAN BERNARDINO,-116.6217,34.208,BNY,WHITEWATER R,6000,CAL FIRE,45D
BOWMAN LAKE,NEVADA,-120.6536,39.4481,BOL,YUBA R,5390,CA Dept of Water Resources,45D
BRIDGEPORT,MONO,-119.289,38.272,BPT,WALKER R,6650,US Forest Service,45D
SALINAS RIVER NEAR BRADLEY,MONTEREY,-120.8687897,35.93024445,BRA,SALINAS R,443,USGS and DWR,45D
BEARDSLEY LAKE,TUOLUMNE,-120.075,38.203,BRD,STANISLAUS R,3398,US Bureau of Reclamation,45D
BEAR R AT ROLLINS RESERVOIR,PLACER,-120.953,39.133,BRE,BEAR R,1945,"Pacific Gas and Electric Company, Auburn",45D
BEAR TRAP MEADOW,TULARE,-118.858,36.676,BRM,KAWEAH R,6800,US Army Corps of Engineers,45D
BRUSH CREEK (DWR),BUTTE,-121.339,39.692,BRS,FEATHER R,3560,CA Dept of Water Resources/O & M,45D
BATTLE RIDGE,TEHAMA,-121.75,40.333,BTR,SACTO VLY WEST,3400,US Bureau of Reclamation,45D
BUCHANAN DAM,MADERA,-119.97,37.213,BUC,CHOWCHILLA R,450,US Army Corps of Engineers,45D
BULLARDS BAR,YUBA,-121.1439,39.3963,BUD,YUBA R,2100,Yuba County Water Agency,45D
BUCKS CREEK POWERHOUSE,PLUMAS,-121.333,39.917,BUP,FEATHER R,1760,Pacific Gas & Electric,45D
BURNS CREEK DAM,MERCED,-120.275,37.377,BUR,MERCED R,319,US Army Corps of Engineers,45D
BLUE CANYON (DWR-2),PLACER,-120.7,39.283,BYM,AMERICAN R,5280,CA Dept of Water Resources,45D
CAMP ANGELUS,SAN BERNARDINO,-116.978,34.15,CAG,SANTA ANA R,5780,None Specified,45D
CAMPTONVILLE (DWR),YUBA,-121.049,39.451,CAM,YUBA R,2755,CA Dept of Water Resources/O & M,45D
CAPLES LAKE,ALPINE,-120.042,38.71,CAP,AMERICAN R,8000,US Bureau of Reclamation,45D
CAHUILLA,IMPERIAL,-115.174,32.974,CAU,COLORADO R,278,US Bureau of Land Management,45D
CARIBOU PH,PLUMAS,-121.15,40.085,CBO,FEATHER R,2986,Pacific Gas & Electric,45D
CRABTREE MEADOW,TULARE,-118.345,36.563,CBT,KERN R,10700,CA Dept of Water Resources/Snow Surveys,45D
COW CREEK (USBR),SHASTA,-121.853,40.603,CCE,SACTO VLY NE,2840,US Bureau of Reclamation,45D
CACHUMA LAKE,SANTA BARBARA,-119.98,34.583,CCH,SANTA YNEZ R,781,US Bureau of Reclamation,45D
COFFEE CREEK RANGER STATION,TRINITY,-122.7086,41.0894,CFF,TRINITY R,2503,CA Dept of Water Resources/Flood Management,45D
COFFEE RIDGE,TRINITY,-122.717,41.083,CFR,TRINITY R,3040,US Bureau of Reclamation,45D
BEAR RIVER AT CAMP FAR WEST DAM,YUBA,-121.317,39.05,CFW,BEAR R,260,CA Dept of Water Resources,45D
CEDAR GROVE,TULARE,-118.659,36.788,CGR,KINGS R,4720,National Park Service,45D
COLGATE PH,YUBA,-121.19,39.3308,CGT,YUBA R,600,CA Dept of Water Resources,45D
CHEESEBORO,VENTURA,-118.7172,34.1847,CHE,VENTURA LA COASTAL,1650,National Park Service,45D
CHICAGO,SACRAMENTO,-121.254,38.652,CHG,AMERICAN R,210,Sacramento County,45D
CHICO,BUTTE,-121.783,39.712,CHI,BUTTE CR,230,CAL FIRE,45D
CHALLENGE RANGER STATION,YUBA,-121.217,39.483,CHL,YUBA R,3200,US Forest Service,45D
CHILKOOT MEADOW,MADERA,-119.49,37.41,CHM,SAN JOAQUIN R,7150,US Bureau of Reclamation,45D
CHESTER,PLUMAS,-121.233,40.283,CHS,FEATHER R,4525,US Forest Service,45D
PAJARO RIVER AT CHITTENDEN,SANTA CRUZ,-121.5977249,36.90023041,CHT,PAJARO R,82,USGS and DWR,45D
CHERRY VALLEY DAM,TUOLUMNE,-119.917,37.967,CHV,TUOLUMNE R,4765,Hetch Hetchy Water and Power,45D
CITY CREEK RANGER STATION,SAN BERNARDINO,-117.181,34.186,CKC,SANTA ANA R,2610,None Specified,45D
TRINITY LAKE,TRINITY,-122.762,40.801,CLE,TRINITY R,2370,US Bureau of Reclamation,45D
COLFAX,PLACER,-120.951,39.122,CLF,AMERICAN R,2400,National Weather Service,45D
COVELO,MENDOCINO,-123.083191,39.826111,CLO,EEL R,1487,CA Dept of Water Resources,45D
CLEAR CREEK,SHASTA,-122.667,40.639,CLR,SACTO VLY NE,3300,US Bureau of Reclamation,45D
RUSSIAN RIVER AT CLOVERDALE,MENDOCINO,-123.0536118,38.87934875,CLV,RUSSIAN R,107,CA Dept of Water Resources,45D
CANYON DAM,PLUMAS,-121.083,40.167,CNY,FEATHER R,4560,Pacific Gas & Electric,45D
COYOTE (LAKE MENDOCINO),MENDOCINO,-123.186,39.197,COY,RUSSIAN R,720,US Army Corps of Engineers,45D
CHARLOTTE LAKE,FRESNO,-118.422,36.797,CRL,KINGS R,10400,CA Dept of Water Resources/Snow Surveys,45D
CRANE VALLEY RESERVOIR (PG&E),MADERA,-119.526,37.291,CRR,SAN JOAQUIN R,3400,Pacific Gas & Electric,45D
CASHMAN,PLUMAS,-120.916,40.0019,CSH,FEATHER R,4520,National Park Service,45D
CALIFORNIA STATE UNIV AT SACRAMENTO,SACRAMENTO,-121.416,38.555,CSU,AMERICAN R,25,National Weather Service,45D
COTTONWOOD CREEK NEAR BEEGUM,TEHAMA,-122.881,40.317,CTN,COTTONWOOD CR,3400,US Bureau of Reclamation,45D
CALAVERAS RANGER STATION,CALAVERAS,-120.367,38.198,CVS,MOKELUMNE R,3360,US Bureau of Reclamation,45D
CALAVERAS BIG TREES,CALAVERAS,-120.317,38.283,CVT,STANISLAUS R,4695,National Weather Service,45D
COTTONWOOD LAKES,INYO,-118.177,36.483,CWD,OWENS R,10150,CA Dept of Water Resources,45D
LAKE DAVIS (DWR),PLUMAS,-120.467,39.883,DAV,FEATHER R,5768,CA Dept of Water Resources/O & M,45D
DUBLIN-SAN RAMON FIRE HOUSE,CONTRA COSTA,-121.927,37.732,DBF,EAST BAY,355,Contra Costa County,45D
DRY CREEK NEAR COULTERVILLE,MARIPOSA,-120.312,37.654,DCC,MERCED R,728,Merced Irrigation District,45D
DUDLEYS (MCDIARMID FIRE STATION),MARIPOSA,-120.09614,37.72091,DDL,MERCED R,3000,CA Dept of Water Resources/Flood Management,45D
DEADMAN CREEK,TUOLUMNE,-119.6531,38.3319,DDM,STANISLAUS R,9250,CA Dept of Water Resources,45D
DIDDY WELLS,SHASTA,-122.1,40.7,DDW,SACTO VLY NE,1300,US Bureau of Reclamation,45D
DEER CREEK DAM,SAN BERNARDINO,-117.502,34.169,DEC,LYTLE CR,2320,None Specified,45D
DE SABLA (DWR),BUTTE,-121.61,39.872,DES,BUTTE CR,2710,CA Dept of Water Resources/O & M,45D
DEVORE,SAN BERNARDINO,-117.404442,34.221111,DEV,LYTLE CR,2070,CAL FIRE,45D
DINKY,FRESNO,-119.03944,37.06639,DKY,KINGS R,5668,US Forest Service,45D
DUNSMUIR TREATMENT PLANT,SISKIYOU,-122.267,41.2,DNM,SACRAMENTO R,2170,National Weather Service,45D
DON PEDRO RESERVOIR,TUOLUMNE,-120.421,37.702,DNP,TUOLUMNE R,830,Turlock Irrigation District,45D
DOYLE CROSSING,PLUMAS,-120.483,40.1192,DOY,FEATHER R,5670,CA Dept of Water Resources,45D
DRUM POWER HOUSE,PLACER,-120.767,39.264,DPH,BEAR R,3400,Pacific Gas & Electric,45D
DEER CK FOREBAY (PG&E),NEVADA,-120.825,39.3,DRC,YUBA R,4455,Pacific Gas & Electric,45D
SMITH RIVER AT DR FINE BRIDGE,DEL NORTE,-124.133,41.883,DRF,SMITH R,63,USGS and DWR,45D
DE SABLA (PG&E),BUTTE,-121.617,39.867,DSB,BUTTE CR,2710,Pacific Gas & Electric,45D
DESCANO,SAN DIEGO,-116.622,32.857,DSC,SAN DIEGO R,3480,US Forest Service,45D
DEATH VALLEY,INYO,-116.867,36.467,DTV,AMARGOSA R,-194,National Weather Service,45D
DUDLEY RANCH BELOW COULTERVILLE,MARIPOSA,-120.133,37.741,DUC,MERCED R,3654,Merced Irrigation District,45D
DANVILLE LIBRARY,CONTRA COSTA,-121.9956,37.8208,DVB,SF BAY,364,Contra Costa County,45D
DAVIS RANCH,TEHAMA,-122.45,40.35,DVR,COTTONWOOD CR,550,US Bureau of Reclamation,45D
DOWNIEVILLE,SIERRA,-120.8333,39.5667,DWV,YUBA R,2915,National Weather Service,45D
DAY CANYON,SAN BERNARDINO,-117.537,34.168,DYC,LYTLE CR,2240,None Specified,45D
EAGLE CREEK,TULARE,-118.641,35.983,EGL,TULE R,6700,US Army Corps of Engineers,45D
COSUMNES RIVER AT EAGLES NEST ROAD,SACRAMENTO,-121.26,38.485,EGN,COSUMNES R,100,Sacramento County,45D
ELK GROVE FISH HATCHERY,SACRAMENTO,-121.374,38.421,ELG,COSUMNES R,45,Sacramento County,45D
ELK VALLEY,DEL NORTE,-123.718,41.988,ELK,SMITH R,1705,CA Dept of Water Resources,45D
ENGLEBRIGHT (USACE),NEVADA,-121.267,39.239,ENG,YUBA R,551,US Army Corps of Engineers,45D
EUREKA WOODLEY ISLAND,HUMBOLDT,-124.167,40.8,ERK,EEL R,20,National Weather Service,45D
ELLERY LAKE,MONO,-119.233,37.933,ERY,MONO LAKE,9645,CA Dept of Water Resources/Snow Surveys,45D
PLUMAS EUREKA ST PARK WEATHER STATION,PLUMAS,-120.69611,39.75778,EWS,FEATHER R,5107,CA Dept of Water Resources/Flood Management,45D
NEW EXCHEQUER-LK MCCLURE,MARIPOSA,-120.27,37.585,EXC,MERCED R,879,Merced Irrigation District,45D
FORBESTOWN,BUTTE,-121.2661,39.517,FBS,FEATHER R,2840,Pacific Gas & Electric,45D
FANCHER CREEK,FRESNO,-119.4658,36.8839,FCH,KINGS R,920,CAL FIRE,45D
FIDDLETOWN,AMADOR,-120.7,38.533,FDL,COSUMNES R,2160,US Bureau of Reclamation,45D
FENCE MEADOW,FRESNO,-119.175,36.961,FEN,KINGS R,5048,US Forest Service,45D
FOLSOM DAM,SACRAMENTO,-121.167,38.7,FLD,AMERICAN R,350,National Weather Service,45D
FLORENCE LAKE (SCE),FRESNO,-118.967,37.267,FLR,SAN JOAQUIN R,7325,"Southern California Edison Company, Big Creek",45D
FLOWER MOUNTAIN,TUOLUMNE,-120.6803,37.92,FLW,STANISLAUS R,1480,US Army Corps of Engineers,45D
FORT ORD #2,MONTEREY,-121.786,36.627,FO2,SALINAS R,490,US Army,45D
FOLSOM LAKE,SACRAMENTO,-121.183,38.683,FOL,AMERICAN R,466,US Bureau of Reclamation,45D
FOUR TREES,PLUMAS,-121.321,39.813,FOR,FEATHER R,5150,CA Dept of Water Resources/O & M,45D
FRENCHMAN DAM,PLUMAS,-120.183,39.883,FRD,FEATHER R,5517,CA Dept of Water Resources/O & M,45D
FORESTHILL R S,PLACER,-120.85,39.017,FRH,AMERICAN R,3015,US Forest Service,45D
FARMINGTON (SPILL ELEV 156.5 FT),SAN JOAQUIN,-120.935,37.915,FRM,LITTLEJOHN CR,180,US Army Corps of Engineers,45D
FORNI RIDGE,EL DORADO,-120.213,38.805,FRN,AMERICAN R,7600,US Bureau of Reclamation,45D
FRESNO WB AIRPORT,FRESNO,-119.717,36.767,FRO,TULARE LAKE,328,National Weather Service,45D
FRIANT DAM,FRESNO,-119.692,36.995,FRT,SAN JOAQUIN R,578,US Bureau of Reclamation,45D
EEL RIVER AT FORT SEWARD,HUMBOLDT,-123.6325302,40.21820068,FSW,EEL R,320,USGS and DWR,45D
GASQUET RANGER STATION,DEL NORTE,-123.967,41.85,GAS,SMITH R,384,CA Dept of Water Resources,45D
GIBSON,SHASTA,-122.3992,41.0225,GIB,SACRAMENTO R,1633,CA Dept of Water Resources,45D
GIN FLAT,MARIPOSA,-119.773,37.767,GIN,MERCED R,7050,CA Dept of Water Resources,45D
GREEK STORE,PLACER,-120.558,39.075,GKS,AMERICAN R,5600,US Bureau of Reclamation,45D
GLEN HELEN REGIONAL PARK,SAN BERNARDINO,-117.405,34.209,GLH,LYTLE CR,2040,None Specified,45D
GILMORE RANCH,SAN JOAQUIN,-120.987,38.045,GLR,CALAVERAS R,220,San Joaquin County,45D
GLENVILLE FS,KERN,-118.7,35.717,GLV,KERN R,3140,Kern County,45D
GIANT FOREST (USACE),TULARE,-118.765,36.562,GNF,KAWEAH R,6650,US Army Corps of Engineers,45D
GIANELLI MEADOW,TUOLUMNE,-119.892,38.205,GNL,STANISLAUS R,8400,US Bureau of Reclamation,45D
GREENVILLE RS,PLUMAS,-120.933,40.133,GNV,FEATHER R,3570,National Weather Service,45D
GOLD LAKE,SIERRA,-120.615,39.675,GOL,FEATHER R,6750,CA Dept of Water Resources/O & M,45D
GIRARD,SHASTA,-122.283,41.133,GRD,SACRAMENTO R,4800,US Bureau of Reclamation,45D
GREENVILLE,PLUMAS,-120.9412,40.1394,GRE,FEATHER R,3560,CA Dept of Water Resources,45D
GEORGETOWN RS (USFS),EL DORADO,-120.8,38.933,GRG,AMERICAN R,3001,US Forest Service,45D
GREEN MOUNTAIN,MADERA,-119.238,37.555,GRM,SAN JOAQUIN R,7900,US Bureau of Reclamation,45D
GRANT GROVE,TULARE,-118.967,36.733,GRO,KINGS R,6600,US National Forest,45D
GRAVEYARD MEADOW,MADERA,-119.29,37.465,GRV,SAN JOAQUIN R,6900,US Bureau of Reclamation,45D
GRIZZLY RIDGE,PLUMAS,-120.645,39.917,GRZ,FEATHER R,6900,CA Dept of Water Resources/O & M,45D
GOAT MOUNTAIN,MADERA,-119.543,37.27,GTM,SAN JOAQUIN R,4520,US Bureau of Reclamation,45D
GEORGETOWN (USBR),EL DORADO,-120.789,38.925,GTW,AMERICAN R,3250,US Bureau of Reclamation,45D
HARVEY O BANKS PUMPING P (KA000331),CONTRA COSTA,-121.620278,37.801944,HBP,DELTA,4,CA Dept of Water Resources/O & M,45D
HOCKETT MEADOW (USACE),TULARE,-118.651,36.371,HCK,KAWEAH R,8500,US Army Corps of Engineers,45D
HOADLEY,SHASTA,-122.75,40.683,HDL,TRINITY R,4580,US Bureau of Reclamation,45D
HERNANDEZ,SAN BENITO,-120.854,36.383,HDZ,SAN BENITO R,3752,CAL FIRE,45D
HIGHLAND MEADOW,ALPINE,-119.805,38.49,HHM,MOKELUMNE R,8700,CA Dept of Water Resources/Snow Surveys,45D
HIDDEN DAM (HENSLEY),MADERA,-119.917,37.2,HID,FRESNO R,561,US Army Corps of Engineers,45D
HIGHLAND LAKES,TRINITY,-122.483,41.093,HIG,TRINITY R,6030,US Bureau of Reclamation,45D
HILLCREST,SHASTA,-121.883,40.867,HLC,PIT R,3440,US Bureau of Reclamation,45D
HIGHLAND PEAK,CONTRA COSTA,-121.8084,37.8145,HLD,DELTA,2520,Contra Costa County,45D
HELL HOLE (USFS),PLACER,-120.4217,39.0717,HLH,AMERICAN R,4580,US Forest Service,45D
HUMBUG,PLUMAS,-121.368,40.115,HMB,FEATHER R,6500,CA Dept of Water Resources/O & M,45D
HUNTINGTON LAKE (USBR),FRESNO,-119.221,37.228,HNT,SAN JOAQUIN R,7000,US Bureau of Reclamation,45D
HONEYDEW,HUMBOLDT,-124.148,40.23,HNY,MATTOLE R,370,CA Dept of Water Resources,45D
TRINITY RIVER AT HOOPA,HUMBOLDT,-123.6736679,41.04985046,HPA,TRINITY R,330,USGS and DWR,45D
HIRZ,SHASTA,-122.25,40.9,HRZ,SACRAMENTO R,3200,US Bureau of Reclamation,45D
HOSSACK,TULARE,-118.619,36.181,HSS,TULE R,7100,US Army Corps of Engineers,45D
HAT CREEK #1 PH (PG&E),LASSEN,-121.55,40.933,HTC,PIT R,3015,Pacific Gas & Electric,45D
HASTINGS,MONTEREY,-121.551,36.388,HTG,CARMEL R,1824,CAL FIRE,45D
HETCH HETCHY,TUOLUMNE,-119.783,37.95,HTH,TUOLUMNE R,3870,Hetch Hetchy Water and Power,45D
HUYSINK,PLACER,-120.527,39.282,HYS,AMERICAN R,6600,US Bureau of Reclamation,45D
INDEPENDENCE LAKE NEAR TRUCKEE,SIERRA,-120.29,39.452,INP,TRUCKEE R,6921,US Geological Survey,45D
INDIAN VALLEY,LAKE,-122.533,39.083,INV,CACHE CR,1502,Yolo County Flood Control and Water Consv Dist,45D
ISABELLA DAM,KERN,-118.473,35.646,ISB,KERN R,2635,US Army Corps of Engineers,45D
JARBO GAP,BUTTE,-121.489,39.736,JAR,FEATHER R,2700,CAL FIRE,45D
JULIAN,SAN DIEGO,-116.591,33.076,JUL,SAN DIEGO R,4240,CAL FIRE,45D
KERN PH 3,KERN,-118.433,35.783,KP3,KERN R,2703,"Southern California Edison Company, Big Creek",45D
KERN CANYON PH (PG&E),KERN,-118.783,35.433,KPH,KERN R,570,Pacific Gas & Electric,45D
KERN POWER HOUSE INTAKE,KERN,-118.47686,35.9458,KPI,KERN R,3654,Southern California Edison Company,45D
KERN R INTAKE NO. 3,KERN,-118.48,35.95,KR3,KERN R,3650,"Southern California Edison Company, Big Creek",45D
KAISER POINT,FRESNO,-119.1,37.3,KSP,SAN JOAQUIN R,9200,US Bureau of Reclamation,45D
KETTLE ROCK,PLUMAS,-120.715,40.14,KTL,FEATHER R,7300,CA Dept of Water Resources/O & M,45D
KETTLEMAN HILLS,KINGS,-120.057,36.033,KTT,TULARE LAKE,810,US Bureau of Land Management,45D
LA PORTE (DWR),PLUMAS,-120.983,39.681,LAP,FEATHER R,4980,CA Dept of Water Resources/O & M,45D
LODGEPOLE,TULARE,-118.733,36.6,LDG,KAWEAH R,6735,Sequoia and Kings Canyon National Parks,45D
SOUTH FORK EEL RIVER AT LEGGETT,MENDOCINO,-123.7205811,39.87459564,LEG,EEL R,747,USGS and DWR,45D
LOG SPRING,TEHAMA,-122.783,39.833,LGS,SACTO VLY WEST,5100,US Army Corps of Engineers,45D
LAKESHORE,SHASTA,-122.383,40.867,LKS,SACRAMENTO R,1100,US Bureau of Reclamation,45D
LAKE SPAULDING (PG&E),NEVADA,-120.633,39.317,LSP,YUBA R,5156,Pacific Gas & Electric,45D
LIVE OAK CANYON - LIVE OAK DAM,LOS ANGELES,-117.744,34.134,LVO,LOS ANGELES R,1510,Los Angeles County,45D
LYTLE CREEK,SAN BERNARDINO,-117.48,34.234,LYC,SANTA ANA R,2792,US Forest Service,45D
