name,Meadow ID,Meadow Name,Meadow Reference,Assessment Date,Assessment Points,Assessment Completed,Organization Affiliation,Elevation_m,Slope,Hydrogeomorphic Type,Land Ownership,Bank Height,Secondary Channel Bank Height,Gullies,Left Bank Stability,Right Bank Stability,Total Bank Stability,Secondary Channel Bank Stability,Vegetation Cover,Bare Ground,Encroachment,Restoration Efforts,Comments on Restoration,Headcut Present,Number of Headcuts,Ponds Present,Aspen Trees Present,Grazing Trails,Stubble,Dung in Channel,Hoof Prints on Banks,Surveyor(s),Trail,Evidence of OHV use,Road,Corral,Building,Vehical Access,Adjacent Culvert,Adjacent Bridge,Adjacent Road,Adjacent Building,Gopher Disturbance,"Willow, Alder, and Aspen Coverage",Fish Observed,Beavers,Latitude,Longitude,Watershed,General Comments
Little Antelope Valley Assessment,,Little Antelope Valley,UCDSNM016325,"Monday, March 16, 2015",19,Yes,American Rivers,1786,0,Annual grassland,Lassen National Forest,Natural Condition,,Natural Condition,,,Natural Condition,,Slightly Impacted,Heavily Impacted,Slightly Impacted,No,,Yes,1,No,No,Yes,No,Yes,No,,Yes,No,Yes,No,No,Yes,No,No,Yes,No,28,0,No,No,40.63734,-120.89008,Pine Creek,The meadow is much smaller than remotely estimated. The majority of the area is a large sage flat. The meadow extends from a watering pit to a water tank at the top. Close to the water tank at the top of the meadow is a headcut. The headcut is close to an old road. It is unstable but does not threaten much of the meadow. 
Hot Springs Creek Meadow  Assessment,,Hot Springs Creek Meadow ,,"Thursday, June 19, 2014",31,Yes,American Rivers,2481,,,Toiyabe National Forest,Natural Condition,Natural Condition,Natural Condition,,,Natural Condition,Natural Condition,Slightly Impacted,Natural Condition,Natural Condition,No,,Yes,2,,No,No,No,No,No,"Meg Hanley, Jacob Dyste",No,Yes,No,No,No,No,No,No,No,No,2,0.2,No,No,38.712528,-119.885389,,"Located on Burnside Lake Road, the road ends about 1,500 ft from the meadow. Meadow runs north to south, there are 2 main channels with the primary one running further east. The outlet creek from Burnside Lake runs along the edge of the meadow along the eastern and southern edge. Both of the main ""meadow channels"" join into that one. Significant amounts of willow in upper meadow. Most of the forb was also in the upper meadow. "
Middle Willow Creek Meadow  Assessment,,Middle Willow Creek Meadow ,No Meadow,"Wednesday, June 18, 2014",31,Yes,American Rivers,2289,,,Toiyabe National Forest,Natural Condition,Natural Condition,Natural Condition,,,Natural Condition,Natural Condition,Natural Condition,Natural Condition,Slightly Impacted,No,,Yes,2,,Yes,No,No,Yes,No,"Meg Hanley, Jacob Dyste",No,No,No,No,No,No,No,No,No,No,5,0.1,No,No,38.801333,-119.910667,Carson,"High gradient, especially in the top half of the meadow. Slope decreases and the meadow flattens in the middle. It becomes steep again at the bottom. The headcuts appear to be stable at the moment but they should be watched. The dung in the channel is old. "
Horse Meadow  Assessment,,Horse Meadow ,No Meadow,"Wednesday, June 18, 2014",,No,American Rivers,2584,,,Toiyabe National Forest,,,,,,,,,,,,,,,,,,,,,"Meg Hanley, Jacob Dyste",,,,,,,,,,,,,,,38.836278,-119.893694,Carson,Very sloped with some meadow veg in narrow swaths. Similar to Upper Willow Creek Meadow. Not considered meadow. 
Upper Willow Creek Meadow  Assessment,,Upper Willow Creek Meadow ,UCDSNM013326,"Wednesday, June 18, 2014",,No,American Rivers,2500,,,Toiyabe National Forest,,,,,,,,,,,,,,,,,,,,,"Meg Hanley, Jacob Dyste",,,,,,,,,,,,,,,38.822278,-119.911278,Carson,This is not a meadow. It is a bunch of riparian stringers with some small patches of meadow veg and soil. Meadow that is there is less than 15 acres. 
Faith Valley Meadow Assessment,,Faith Valley Meadow,UCDSNM012811,"Wednesday, June 18, 2014",17,Yes,American Rivers,2319,,,Toiyabe National Forest,Moderately Impacted,,Slightly Impacted,,,Moderately Impacted,,Natural Condition,Slightly Impacted,Slightly Impacted,No,,Yes,2,,No,No,No,No,No,"Meg Hanley, Jacob Dyste",Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,2,0.25,Yes,Yes,38.68675,-119.929028,Carson,"On the mainstem of the west fork carson. Could be considered a barrier to restoration. There is an RV type campground on the east side of the meadow. Willow is along most of the channel, especially in the lower meadow where the floodplain is inset. Upstream from the Hope Valley Project. Blue Lakes Road runs along the meadow. "
Forestdale Meadow Assessment,,Forestdale Meadow,No Meadow,"Wednesday, June 18, 2014",19,Yes,American Rivers,2438,,,Toiyabe National Forest,Moderately Impacted,,Slightly Impacted,,,Slightly Impacted,,Natural Condition,Slightly Impacted,Natural Condition,No,,Yes,4,,No,No,No,No,No,"Meg Hanley, Jacob Dyste",No,No,No,No,No,Yes,No,No,Yes,No,0,0.1,Yes,Yes,38.674667,-119.968056,Carson,There is a beaver dam at the base of the meadow that has blown out. There is incision above the blown out dam. There is another beaver dam in the middle of the meadow and the meadow is fairly healthy above that one. It's an interesting study in beaver's affect on meadow. There are several headcuts below the middle dam. 
Lost Lakes Meadow  Assessment,,Lost Lakes Meadow ,UCDSNM012719,"Wednesday, June 18, 2014",15,Yes,American Rivers,2480,,,Toiyabe National Forest,Natural Condition,,Natural Condition,,,Natural Condition,,,,Slightly Impacted,No,,,,,No,No,No,No,No,"Meg Hanley, Jacob Dyste",No,No,No,No,No,No,No,No,No,No,,0.6,,Yes,38.65,-119.941306,Carson,We were unable to get on the ground in this meadow but we viewed it from above with binoculars. It is completely ringed by cliffs expect for a small outlet. Inside a terminal moraine. Is located below 2 outlets of Lost Lakes. There is a massive beaver pond at the bottom of the meadow that covers around 20% of the meadow. Willow covers about 60% of the meadow. 
English Meadow Assessment,,English Meadow,No Meadow,"Thursday, June 19, 2014",27,Yes,American Rivers,2320,,,Toiyabe National Forest,Natural Condition,Natural Condition,Natural Condition,,,Natural Condition,Slightly Impacted,Slightly Impacted,Slightly Impacted,Moderately Impacted,No,,Yes,2,,No,No,No,No,No,"Meg Hanley, Jacob Dyste",No,No,No,No,No,No,No,No,No,No,4,0.05,No,No,38.61975,-119.768583,Carson,"Meadow is very difficult to access, .6 miles walking up steep loose rock. Dry and steep meadow with fairly undefined channel in places. Sage encroached with some willow. Below the meadow the topography drops of steeply. Saw bear and coyote scat. Also saw blue grouse with two chicks. Poor veg and encroachment score may be due the steepness of the meadow. "
Rinney Meadow  Assessment,,Rinney Meadow ,UCDSNM012361,"Thursday, June 19, 2014",,No,American Rivers,2492,,,Toiyabe National Forest,,,,,,,,,,,,,,,,,,,,,"Meg Hanley, Jacob Dyste",,,,,,,,,,,,,,,38.5675,-119.808528,Carson,This area is very steep and covered with willow. Not a meadow. It is right along Highway 4 and under a basalt outcrop. 
Silver Creek Meadow Assessment,,Silver Creek Meadow,UCDSNM012371,"Thursday, June 19, 2014",23,Yes,American Rivers,2477,,,Toiyabe National Forest,Natural Condition,,Natural Condition,,,Slightly Impacted,,Natural Condition,Natural Condition,Natural Condition,No,,No,,,Yes,Yes,No,Yes,No,"Meg Hanley, Jacob Dyste",No,No,No,No,No,No,No,No,No,No,0,0.7,Yes,No,38.568306,-119.812861,Carson,Two main meadow sections connected by riparian stringer. Some incision and bank instability within the stringer. Inset floodplain within the riparian stringer. Lots of fish including brook and rainbow trout. Channel is confined to the eastern edge of the meadow. Meadow surface was very wet. 
Falls Meadow Assessment,,Falls Meadow,No Meadow,"Wednesday, July 9, 2014",13,Yes,American Rivers,2110,,,Toiyabe National Forest,Heavily Impacted,,Moderately Impacted,,,Heavily Impacted,,Natural Condition,Moderately Impacted,Slightly Impacted,No,,Yes,1,,Yes,No,No,No,No,"Jacob Dyste, Meg Hanley",Yes,No,No,No,No,No,No,No,No,No,12,0.65,Yes,Yes,39.494389,-119.684528,Carson,Heavily incised banks with some inset floodplain. Some meadow veg still exists on the surface without encroachment. At no point in the meadow are the banks below 2 feet. There is significant willow cover. Located on a the mainstem of the East Fork Carson. There is a remnant channel in the western meadow. 
Poison Flat West Assessment,,Poison Flat West,No Meadow,"Wednesday, July 9, 2014",21,Yes,American Rivers,2353,,,Toiyabe National Forest,Natural Condition,,Natural Condition,,,Natural Condition,,Slightly Impacted,Natural Condition,Moderately Impacted,No,,No,,,Yes,No,No,No,No,"Meg Hanley, Jacob Dyste",Yes,No,No,No,No,No,No,No,No,No,0,0.05,No,No,38.5075,-119.626833,Carson,- 4 miles for Corral Valley Trailhead. Meadow flows west in the EF Carson. Shapefile needs to be divided from east and west Poison Flat. Start of the creek with a tiny channel. 
Poison Flat East Assessment,,Poison Flat East,UCDSNM012189,"Wednesday, July 9, 2014",20,Yes,American Rivers,2358,,,Toiyabe National Forest,Natural Condition,,Slightly Impacted,,,Natural Condition,,Natural Condition,Natural Condition,Heavily Impacted,Yes,Headcut Repair in the lower meadow. ,Yes,2,,Yes,No,No,No,No,"Jacob Dyste, Meg Hanley",Yes,No,No,No,No,No,No,No,No,No,0,0.05,No,No,38.505444,-119.621611,Carson,CDFW had Poison Flat as one meadow but we split it into east and west. East Poison Flat drains into Silver King Creek. Lower meadow is incised with inset floodplain. There is a headcut repair in that lower section. The meadow then opens up before a section of sage brush. This middle sage encroached section has an active headcut. Above that the meadow is much drier. There could possibly be an invasive in this upper section. 
Long Valley Meadow  Assessment,,Long Valley Meadow ,UCDSNM012122,"Wednesday, July 9, 2014",16,Yes,American Rivers,2394,,,Toiyabe National Forest,Slightly Impacted,,Slightly Impacted,,,Slightly Impacted,,Slightly Impacted,Slightly Impacted,Heavily Impacted,No,,Yes,1,,Yes,No,No,No,No,"Meg Hanley, Jacob Dyste",Yes,No,No,No,No,No,No,No,No,No,8,0.15,No,No,38.479611,-119.606139,Carson,8 miles from Corral Valley TH. Abundant sage brush encroachment up to the channel at some points. The upper meadow is more sloped and the channel probably does not access the floodplain. There is a pinch in the meadow with flatter gradient below it. Areas that looked to be previously unstable are starting to be stabilized by grass and willow. Paiute Cutthroat Habitat. 
Lower Fish Meadow  Assessment,,Lower Fish Meadow ,UCDSNM012078,"Tuesday, July 8, 2014",17,Yes,American Rivers,2427,,,Toiyabe National Forest,Moderately Impacted,,Natural Condition,,,Slightly Impacted,,Slightly Impacted,Natural Condition,Heavily Impacted,No,,No,,,Yes,No,No,No,No,"Meg Hanley, Jacob Dyste",Yes,No,No,No,No,No,No,No,No,No,0,0.3,No,No,38.466333,-119.610722,Carson,Paiute Cutthroat Trout habitat. Upper meadow and the very lower meadow is very willow dominated. Sage encroachment in the middle meadow. Wide channel with some incision. Silver King Trail runs along the eastern boundary of the meadow. 
Upper Fish Valley  Assessment,,Upper Fish Valley ,UCDSNM012033,"Tuesday, July 8, 2014",18,Yes,American Rivers,2471,,,Toiyabe National Forest,Slightly Impacted,,Slightly Impacted,,,Natural Condition,,Slightly Impacted,Natural Condition,Heavily Impacted,Yes,One stabilized headcut. Some grazing fence. ,Yes,2,,Yes,No,No,No,No,"Meg Hanley, Jacob Dyste",Yes,No,No,Yes,Yes,No,No,No,No,No,1,0.15,Yes,No,38.451833,-119.598639,Carson,A far distance for the nearest road. The channel is inset through much of the meadow but appears to have bank stability. Lots of sage encroachment. Meadow veg becomes more narrow as you more upstream. Piute Cutthroat habitat. 
Coyote Valley Meadow Assessment,,Coyote Valley Meadow,UCDSNM012080,"Tuesday, July 8, 2014",20,Yes,American Rivers,2495,,,Toiyabe National Forest,Slightly Impacted,,Natural Condition,,,Natural Condition,,Slightly Impacted,Natural Condition,Moderately Impacted,Yes,Exclosure fencing along channel. Upper and lower. ,Yes,1,,No,No,No,No,No,"Jacob Dyste, Meg Hanley",Yes,No,No,No,No,No,No,No,No,No,0,0.05,Yes,No,38.472306,-119.588778,Carson,Meadow is two defined sections with a riparian corridor between them. Exclosure fencing along the channel but there is no other evidence of grazing. Fence posts do not currently have barbed or electric wire on it. 
Lower East Fork Carson Meadow Assessment,,Lower East Fork Carson Meadow,UCDSNM012292,"Wednesday, July 9, 2014",16,Yes,American Rivers,2022,,,Toiyabe National Forest,Moderately Impacted,,Natural Condition,,,Moderately Impacted,,Natural Condition,Slightly Impacted,Heavily Impacted,No,,No,,,Yes,No,No,No,No,"Jacob Dyste, Meg Hanley",Yes,No,No,No,No,No,No,No,No,No,8,0.2,No,No,38.544472,-119.646917,Carson,"On the mainstem of the East Fork Carson. Incision with some inset floddplain. Lots of sage encroachment on the flat spots, probably over 70%. Conifer encroachment and some conifer along the channel. Trail along the NW edge of the meadow. "
Dumonts Meadow Assessment,,Dumonts Meadow,UCDSNM012202,"Wednesday, July 9, 2014",16,Yes,American Rivers,2054,,,Toiyabe National Forest,Moderately Impacted,,Natural Condition,,,Moderately Impacted,,Slightly Impacted,Natural Condition,Heavily Impacted,No,,No,,No,Yes,No,No,No,No,"Meg Hanley, Jacob Dyste",Yes,No,No,No,No,No,No,No,No,Yes,2,0.3,Yes,No,38.511972,-119.654306,Carson,List on all topos as Dumonts Meadow. There are discontinuous areas of meadow with riparian corridor in between. Channel is pinch by rock at certain times. Incised banks in the meadow section. 
Raymonds Meadow Assessment,,Raymonds Meadow,UCDSNM012401,"Tuesday, July 22, 2014",,No,American Rivers,2608,,,Toiyabe National Forest,,,,,,,,,,,,,,,,,,,,,"Meg Hanley, Jacob Dyste",,,,,,,,,,,,,,,38.578139,-119.8285,Carson,A 3 mile hike on the PCT from Ebbett's Pass. Within the Mokelumne Wilderness. Dry and steep with an incised channel. Around the channel is just steep willow with sage in the rest of it. Less than 5% of the delineated area is meadow. Called Raymonds Meadows on all topo maps. 
Clear Creek Meadow  Assessment,,Clear Creek Meadow ,No Meadow,"Wednesday, July 23, 2014",18,Yes,American Rivers,1688,,,Private,Moderately Impacted,,Slightly Impacted,,,Slightly Impacted,,Natural Condition,Slightly Impacted,Slightly Impacted,Yes,Headcut stabilization ,Yes,9,No,No,No,No,No,No,"Meg Hanley, Jacob Dyste",No,No,No,No,No,Yes,No,Yes,Yes,Yes,7,0.1,No,No,39.107472,-119.811528,Carson,This is private land with a Nature Conservancy easement. It is a dry meadow with incised channel that is mainly stable. Land owner is interested in restoration and has a relationship with Otis Bay Consulting. Clear Creek is the only perennial stream on the main stem Carson. Duane at TNC is interested in all kinds of restoration ideas for the property. Upper section is sloped and the meadow veg in maintain by a series of springs. Easement may eventually be surrounded by homes and development. 
Pleasant Valley Assessment,,Pleasant Valley,No Meadow,"Wednesday, July 23, 2014",16,Yes,American Rivers,1809,,,Private,Heavily Impacted,,Moderately Impacted,,,Moderately Impacted,,Natural Condition,Natural Condition,Slightly Impacted,Yes,"Check dams, headcut repairs ",Yes,4,,Yes,Yes,Yes,Yes,Yes,"Meg Hanley, Jacob Dyste",Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,0,0.15,Yes,Yes,38.6565,-119.809111,Carson,"The land is owned by Devere Dressler. The land owner actively removes beaver because he does not believe they are native to the area. There are diversion gates, a large check dam, 2 unstablized headcuts. Land owner gave us a tour which was very nice. The meadow surface is fairly dry. Saw around 70 cattle grazing. Historically the area was used as a dairy and a fish hatchery. It is open to fly fishing and we saw several groups. "
Grover Hot Spring Meadow  Assessment,,Grover Hot Spring Meadow ,No Meadow,"Tuesday, July 22, 2014",20,Yes,American Rivers,1794,,,California Department of Parks and Recreation,Moderately Impacted,,Slightly Impacted,,,Slightly Impacted,,Natural Condition,Natural Condition,Natural Condition,No,,Yes,3,,No,No,No,No,No,Meg Hanley,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,0,0.15,No,No,38.699139,-119.844889,Carson,The meadow is fairly sloped with thermal hot springs present. There is a small inset floodplain with meadow vegetation. The bank is incised 8 ft in some parts. Restricted access to the south side of the meadow due to the thermal streams and springs. There are trails in and around the meadow. 
Bacon Ranch West Assessment,,Bacon Ranch West,No Meadow,"Tuesday, July 22, 2014",,No,American Rivers,1690,,,Private,,,,,,,,,,,No,,No,,No,No,No,No,No,No,Jacob Dyste,No,No,No,No,No,No,No,No,No,No,,,No,No,38.691056,-119.788556,Carson,The area that is delineated as meadow is actually irrigated pasture. There are headcuts in the pasture. No survey was conducted because it is not meadow.
Ranz Dry Meadow Assessment,,Ranz Dry Meadow,UCDSNM014776,"Thursday, August 21, 2014",25,Yes,American Rivers,1930,,,Other,Natural Condition,Natural Condition,Slightly Impacted,,,Natural Condition,Natural Condition,Slightly Impacted,Heavily Impacted,Moderately Impacted,No,,Yes,2,No,No,No,Yes,Yes,No,Meg Hanley,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,9,0.2,Yes,No,39.493197,-120.269836,Truckee,"- Meadow areas are non-contiguous
- Eastern meadow section/stringer is most meadow-like and largest. It is wet along channel (main channel) and is private in its uppermost reaches. The private section has a cattle enclosure, with stubble and dung. Part o"
Sawtooth Meadow Assessment,,Sawtooth Meadow,UCDSNM014433,"Wednesday, May 28, 2014",21,Yes,American Rivers,1905,7.4,,Tahoe National Forest,Natural Condition,,Slightly Impacted,,,Natural Condition,,Slightly Impacted,Natural Condition,Slightly Impacted,No,,No,,,No,No,No,No,No,"Jacob Dyste, Meg Hanley",No,Yes,No,No,No,Yes,No,No,Yes,No,0,0,No,No,39.273306,-120.189944,Truckee,"-OHV in upper and lower meadow. The track in the lower meadow is diverting water from the channel
- Channel is dry"
Jackass Meadow Assessment,,Jackass Meadow,UCDSNM014489,"Wednesday, May 28, 2014",22,Yes,American Rivers,1882,15.9,,Tahoe National Forest,Natural Condition,,Natural Condition,,,Natural Condition,,Slightly Impacted,Natural Condition,Slightly Impacted,No,,No,,,Yes,No,No,No,No,"Jacob Dyste, Meg Hanley",No,Yes,No,No,No,Yes,No,No,Yes,No,0,0.25,No,No,39.309778,-120.222278,Truckee,"- Dry channel
- OHV use is present in meadow, bare unblocked path/road leads into meadow and could easily be blocked"
Donner Memorial Meadow Assessment,,Donner Memorial Meadow,UCDSNM014504,"Wednesday, May 28, 2014",23,Yes,American Rivers,1806,4.7,,Other,Natural Condition,,Natural Condition,,,Natural Condition,,Natural Condition,Natural Condition,Slightly Impacted,No,,No,,,No,No,No,No,No,"Meg Hanley, Jacob Dyste",Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,0,0.3,Yes,Yes,39.3225,-120.230806,Truckee,"- 5 beaver dams, 1 lodge, significant beaver related pooling/flooding
- State park - campground at top of meadow and trails along channel.
- 2 bridges over channel
- Trails, compacted and wide, line banks on both sides through middle meadow. May affect"
Alder Creek Meadow Assessment,,Alder Creek Meadow,UCDSNM014565,"Wednesday, May 28, 2014",23,Yes,American Rivers,1757,6.9,,Tahoe National Forest,Heavily Impacted,Natural Condition,Moderately Impacted,,,Moderately Impacted,Natural Condition,Natural Condition,Slightly Impacted,Moderately Impacted,No,,Yes,7,,No,No,No,No,No,"Meg Hanley, Jacob Dyste",Yes,Yes,No,No,No,Yes,No,No,Yes,No,1,0.1,Yes,Yes,39.374806,-120.175444,Truckee,"- Series of dams in upper south section of meadow, effectively raising water table & killing conifer
- Meadow is at the top of Prosser Reservoir
- Reservoir is currently very low
- Extensive beaver activity with deep pools in upper meadow
- Lower mead"
Prosser Creek Meadow Assessment,,Prosser Creek Meadow,UCDSNM014608,"Wednesday, May 28, 2014",,No,American Rivers,1752,7,,Tahoe National Forest,,,,,,,,,,,,,,,,,,,,,"Meg Hanley, Jacob Dyste",,,,,,,,,,,,,,,39.391667,-120.179806,Truckee,"- Meadow not surveyed
- ""Meadow"" is Prosser Creek's entrance into Prosser Reservoir
- Some meadow vegetation is present due to extremely low reservoir level
- Aerials show the area as being inundated in the recent past"
Upper Sagehen Meadow Assessment,,Upper Sagehen Meadow,UCDSNM014662,"Thursday, May 29, 2014",21,Yes,American Rivers,1978,10.44,,Tahoe National Forest,Natural Condition,,Natural Condition,,,Natural Condition,,Slightly Impacted,Natural Condition,Moderately Impacted,Yes,Groundwater  monitoring,No,,,No,No,No,No,No,"Meg Hanley, Jacob Dyste",Yes,No,No,No,No,,No,No,Yes,Yes,0,0.1,Yes,No,39.433167,-120.260333,Truckee,"- Campground along north side of meadow
- Water in channel, but no fish observed
- Conifer along channel, then meadow vegetation further out until edges of meadow 
- Spongy, mossy, wet section in south-middle meadow
- Long term monitoring is probably "
Sagehen Meadow Assessment,,Sagehen Meadow,UCDSNM014702,"Thursday, May 29, 2014",21,Yes,American Rivers,1871,10.5,,Tahoe National Forest,Natural Condition,,Natural Condition,,,Natural Condition,,Slightly Impacted,Natural Condition,Moderately Impacted,No,,No,,,Yes,No,No,No,No,"Meg Hanley, Jacob Dyste",No,No,No,No,No,Yes,No,Yes,Yes,Yes,0,0.05,Yes,Yes,39.451358,-120.180617,Truckee,"- Meadow is in three sections, with riparian corridors in connecting them along Sagehen Creek
- Upper stringer is at the Sagehen Experimental Field Station (USFS, UCD). Several ongoing experiments around meadow including permanent stream cross-section an"
Hobart Mills Meadow Assessment,,Hobart Mills Meadow,UCDSNM014613,"Thursday, May 29, 2014",19,Yes,American Rivers,1787,10.2,,Tahoe National Forest,Natural Condition,,Slightly Impacted,,,Slightly Impacted,,Slightly Impacted,Moderately Impacted,Slightly Impacted,No,,No,,,No,No,No,No,No,"Meg Hanley, Jacob Dyste",Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,0,0.15,No,No,39.448083,-120.1745,Truckee,"- Gravel mill next to meadow
- Upper section of meadow is wet and healthy, with lots of surface sheet flow
- Becomes channelized a few hundred yards above culvert (road crossing)
- Section between culvert and mill/berm is wet and willow is plentiful
-"
Russel Valley Assessment,,Russel Valley,UCDSNM014694,"Wednesday, June 4, 2014",16,Yes,American Rivers,1743,6.5,,Tahoe National Forest,Slightly Impacted,,Slightly Impacted,,,Natural Condition,,Slightly Impacted,Moderately Impacted,Heavily Impacted,Yes,#NAME?,Yes,2,,No,No,No,No,No,"Meg Hanley, Jacob Dyste",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,0,0.05,Yes,No,39.4377,-120.138133,Truckee,"- Mix of private and USFS land 
- Significant portion of channel is inset floodplain of an incised channel. 
- Some areas seem to be two tiers of terrace/insetfloodplain
- Significant sagebrush on top of terrace/former meadow surface. "
Unnamed Meadow 36 Assessment,,Unnamed Meadow 36,UCDSNM014611,"Wednesday, June 4, 2014",17,Yes,American Rivers,,,,Tahoe National Forest,Natural Condition,,Natural Condition,,,Natural Condition,,Slightly Impacted,Heavily Impacted,Heavily Impacted,Yes,Weir at meadow base,No,,,No,No,No,No,No,"Jacob Dyste, Meg Hanley",No,Yes,Yes,No,No,Yes,No,No,Yes,No,0,0,No,No,39.412694,-120.111639,Truckee,"- Very dry meadow with dry channel
- Channel is slightly inset, deep enough to have converted most of the meadow to sage
- Weir at bottom of meadow is helping the very base of the meadow
- Heavy OHV use, tire tracks in channel"
Stampede-Boca Meadow Assessment,,Stampede-Boca Meadow,UCDSNM014727,"Wednesday, June 4, 2014",20,Yes,American Rivers,1731,8.4,,Tahoe National Forest,Natural Condition,,Natural Condition,,,Natural Condition,,Slightly Impacted,Slightly Impacted,Moderately Impacted,No,,No,,,No,No,No,No,No,"Meg Hanley, Jacob Dyste",Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,1,0.1,Yes,No,39.450819,-120.103603,Truckee,"-Inset floodplain below 15 foot historic terrace
-Dry surface until channel
-Lots of gravel & gravel bars. Lack of sediment for meadow soils possibly due to upstream dam
-More willow in downstream area, sage in upper meadow"
Stampede Dam Road Meadow Assessment,,Stampede Dam Road Meadow,UCDSNM014610,"Wednesday, June 4, 2014",,No,American Rivers,,,,Tahoe National Forest,,,,,,,,,,,,,,,,,,,,,"Meg Hanley, Jacob Dyste",,,,,,,,,,,,,,,39.407119,-120.084575,Truckee,"- If ever meadow, now fully converted to sagebrush
- Minimal meadow vegetation located just above culvert where area joins Boca Reservoir"
Prosser Dam Meadow Assessment,,Prosser Dam Meadow,No Meadow,"Wednesday, June 4, 2014",,No,American Rivers,1378,11.9,,Tahoe National Forest,,,,,,,,,,,,,,,,,,,,,"Meg Hanley, Jacob Dyste",,,,,,,,,,,,,,,39.37505,-120.136097,Truckee,"- Narrow riparian corridor below Prosser Dam. 
- Outlet of Prosser Reservoir
"
Babbitt Peak Dry Meadow Assessment,,Babbitt Peak Dry Meadow,No Meadow,"Wednesday, June 11, 2014",,No,American Rivers,,,,Other,,,,,,,,,,,,,,,,,,,,,"Meg Hanley, Jacob Dyste",,,,,,,,,,,,,,,39.582736,-120.096219,Truckee,"Lower section is a very dry meadow that transitions into sage brush, aspen & mountain mahogany. What is delineated as the upper meadow is very sloped (greater than 25%, from eyeballing). Lower meadow has no channel and is less than 15 acres. "
Hoke Meadow Assessment,,Hoke Meadow,UCDSNM014792,"Wednesday, June 11, 2014",,No,American Rivers,1836,13.2,,Tahoe National Forest,,,,,,,,,,,,,,,,,,,,,"Jacob Dyste, Meg Hanley",,,,,,,,,,,,,,,39.500756,-120.089181,Truckee,"- Possible converted meadow (historic meadow)
- Channel is in a 5-10 foot wide inset floodplain
- Area is located above Stampede Reservoir
- Large check dam in middle meadow
- Three small check dams in lower meadow"
Dog Valley Assessment,,Dog Valley,UCDSNM014848,"Wednesday, June 11, 2014",23,Yes,American Rivers,,,,Tahoe National Forest,Moderately Impacted,Slightly Impacted,Slightly Impacted,,,Slightly Impacted,Natural Condition,Natural Condition,Slightly Impacted,Heavily Impacted,Yes,Check dam in secondary channel,Yes,1,,No,No,No,No,No,"Meg Hanley, Jacob Dyste",No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,3,0.1,No,No,39.562689,-120.039569,Truckee,"- 2 channels
- 2nd channel has a check dam where two smaller channels come together before joining main channel (which occurs at the road/meadow crossing). Increased meadow vegetation behind check dam
- 2nd channel characterized by incision and pooling "
Saddle Meadow Assessment,,Saddle Meadow,UCDSNM014769,"Wednesday, August 20, 2014",23,Yes,American Rivers,1972,13.5,,Tahoe National Forest,Natural Condition,,Natural Condition,,,Natural Condition,,Natural Condition,Natural Condition,Slightly Impacted,No,,No,,,No,No,No,Yes,No,"Jacob Dyste, Meg Hanley",No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,0,0.1,No,Yes,39.45645,-120.303044,Truckee,"- Meadow is partially private, marked with barbed fence at top of meadow
- Wet meadow with multiple springs
- Terrace in center of meadow, but still wet and no upland encroachment. "
Waddle Ranch Assessment,,Waddle Ranch,UCDSNM014464,"Monday, June 23, 2014",29,Yes,American Rivers,,,,Other,Natural Condition,Natural Condition,Natural Condition,,,Natural Condition,Natural Condition,Slightly Impacted,Slightly Impacted,Slightly Impacted,No,,No,,,Yes,No,No,No,No,Meg Hanley,No,No,No,No,No,Yes,No,No,Yes,No,5,0.05,No,No,39.287889,-120.100883,Truckee,"- Sloped meadow with two channels that exit meadow separately
- Aspen along southwest edge of meadow
- Telephone pole/wires bisect meadow
- Main channel (and many side channels) break through a ridge that separates the flatter, upper meadow plateau fro"
Stampede Meadow Assessment,,Stampede Meadow,UCDSNM014715,"Wednesday, June 4, 2014",19,Yes,American Rivers,1819,8.13,,Tahoe National Forest,Slightly Impacted,,Slightly Impacted,,,Natural Condition,,Slightly Impacted,Natural Condition,Moderately Impacted,No,,Yes,2,,Yes,No,No,No,No,Meg Hanley,No,Yes,No,No,No,Yes,No,No,Yes,No,0,0.4,No,No,39.463167,-120.192944,Truckee,"- Dry meadow, with the Little Truckee River running along southern edge. Channels join the Little Truckee or run directly into reservoir
- Meadow usually on edge of Stampede Reservoir, however with low reservoir levels the meadow surface and reservoir do"
